time,setpoint,velocity,error,control
1.800,100.00,101.3135,-1.6948,8.2628
1.810,100.00,101.6872,-1.3135,12.0000
1.820,100.00,101.3057,-1.6872,8.2614
1.830,100.00,101.6796,-1.3057,12.0000
1.840,100.00,101.2981,-1.6796,8.2601
1.850,100.00,101.6721,-1.2981,12.0000
1.860,100.00,101.2904,-1.6721,8.2588
1.870,100.00,101.6646,-1.2904,12.0000
1.880,100.00,101.2828,-1.6646,8.2575
1.890,100.00,101.6572,-1.2828,12.0000
1.900,100.00,101.2752,-1.6572,8.2562
1.910,100.00,101.6497,-1.2752,12.0000
1.920,100.00,101.2677,-1.6497,8.2549
1.930,100.00,101.6424,-1.2677,12.0000
1.940,100.00,101.2602,-1.6424,8.2536
1.950,100.00,101.6350,-1.2602,12.0000
1.960,100.00,101.2528,-1.6350,8.2523
1.970,100.00,101.6277,-1.2528,12.0000
1.980,100.00,101.2454,-1.6277,8.2510
1.990,100.00,101.6204,-1.2454,12.0000
2.000,100.00,101.2380,-1.6204,8.2497
2.010,100.00,101.6132,-1.2380,12.0000
2.020,100.00,101.2306,-1.6132,8.2484
2.030,100.00,101.6060,-1.2306,12.0000
2.040,100.00,101.2233,-1.6060,8.2472
2.050,100.00,101.5989,-1.2233,12.0000
2.060,100.00,101.2161,-1.5989,8.2459
2.070,100.00,101.5918,-1.2161,12.0000
2.080,100.00,101.2088,-1.5918,8.2446
2.090,100.00,101.5847,-1.2088,12.0000
2.100,100.00,101.2017,-1.5847,8.2434
2.110,100.00,101.5776,-1.2017,12.0000
2.120,100.00,101.1945,-1.5776,8.2422
2.130,100.00,101.5706,-1.1945,12.0000
2.140,100.00,101.1874,-1.5706,8.2409
2.150,100.00,101.5636,-1.1874,12.0000
2.160,100.00,101.1803,-1.5636,8.2397
2.170,100.00,101.5567,-1.1803,12.0000
2.180,100.00,101.1733,-1.5567,8.2385
2.190,100.00,101.5498,-1.1733,12.0000
2.200,100.00,101.1662,-1.5498,8.2373
2.210,100.00,101.5429,-1.1662,12.0000
2.220,100.00,101.1593,-1.5429,8.2360
2.230,100.00,101.5361,-1.1593,12.0000
2.240,100.00,101.1523,-1.5361,8.2348
2.250,100.00,101.5293,-1.1523,12.0000
2.260,100.00,101.1454,-1.5293,8.2336
2.270,100.00,101.5225,-1.1454,12.0000
2.280,100.00,101.1386,-1.5225,8.2325
2.290,100.00,101.5158,-1.1386,12.0000
2.300,100.00,101.1317,-1.5158,8.2313
2.310,100.00,101.5091,-1.1317,12.0000
2.320,100.00,101.1249,-1.5091,8.2301
2.330,100.00,101.5024,-1.1249,12.0000
2.340,100.00,101.1182,-1.5024,8.2289
2.350,100.00,101.4958,-1.1182,12.0000
2.360,100.00,101.1114,-1.4958,8.2278
2.370,100.00,101.4892,-1.1114,12.0000
2.380,100.00,101.1047,-1.4892,8.2266
2.390,100.00,101.4827,-1.1047,12.0000
2.400,100.00,101.0981,-1.4827,8.2254
2.410,100.00,101.4761,-1.0981,12.0000
2.420,100.00,101.0915,-1.4761,8.2243
2.430,100.00,101.4696,-1.0915,12.0000
2.440,100.00,101.0849,-1.4696,8.2231
2.450,100.00,101.4632,-1.0849,12.0000
2.460,100.00,101.0783,-1.4632,8.2220
2.470,100.00,101.4567,-1.0783,12.0000
2.480,100.00,101.0718,-1.4567,8.2209
2.490,100.00,101.4503,-1.0718,12.0000
2.500,100.00,101.0653,-1.4503,8.2198
2.510,100.00,101.4440,-1.0653,12.0000
2.520,100.00,101.0588,-1.4440,8.2186
2.530,100.00,101.4377,-1.0588,12.0000
